date,home_team,away_team,outcome,betmgm,betonlineag,betrivers,betus,bovada,draftkings,fanduel,williamhill_us
2025-01-11,Jose Johnson,Felipe Bunes,Felipe Bunes,140.0,136.0,143.0,135.0,145.0,142.0,152.0,150.0
2025-01-11,Jose Johnson,Felipe Bunes,Jose Johnson,-165.0,-156.0,-180.0,-165.0,-170.0,-170.0,-180.0,-180.0
2025-01-11,Magomed Gadzhiyasulov,Bruno Lopes,Bruno Lopes,220.0,220.0,230.0,210.0,215.0,215.0,210.0,220.0
2025-01-11,Magomed Gadzhiyasulov,Bruno Lopes,Magomed Gadzhiyasulov,-275.0,-260.0,-295.0,-260.0,-260.0,-265.0,-255.0,-270.0
2025-01-11,Preston Parsons,Jacobe Smith,Jacobe Smith,-650.0,-650.0,-590.0,-650.0,-650.0,-625.0,-600.0,-650.0
2025-01-11,Preston Parsons,Jacobe Smith,Preston Parsons,475.0,475.0,420.0,425.0,450.0,455.0,450.0,460.0
2025-01-18,Ricky Turcios,Benardo Sopaj,Benardo Sopaj,-250.0,-240.0,-250.0,,-275.0,-250.0,-260.0,-260.0
2025-01-18,Ricky Turcios,Benardo Sopaj,Ricky Turcios,200.0,205.0,195.0,,225.0,205.0,215.0,210.0
2025-01-18,Rinya Nakamura,Muin Gafurov,Muin Gafurov,450.0,475.0,410.0,,425.0,455.0,460.0,430.0
2025-01-18,Rinya Nakamura,Muin Gafurov,Rinya Nakamura,-650.0,-650.0,-560.0,,-600.0,-625.0,-620.0,-600.0
2025-02-01,Bogdan Grad,Lucas Alexander,Bogdan Grad,100.0,100.0,105.0,-110.0,-103.0,-102.0,102.0,100.0
2025-02-01,Bogdan Grad,Lucas Alexander,Lucas Alexander,-120.0,-120.0,-130.0,-120.0,-117.0,-118.0,-120.0,-120.0
2025-02-01,Fares Ziam,Mike Davis,Fares Ziam,120.0,108.0,114.0,110.0,117.0,124.0,122.0,118.0
2025-02-01,Fares Ziam,Mike Davis,Mike Davis,-145.0,-128.0,-141.0,-140.0,-137.0,-148.0,-144.0,-140.0
2025-02-01,Hamdy Abdelwahab,Jamal Pogues,Hamdy Abdelwahab,-125.0,-125.0,-121.0,-125.0,-122.0,-125.0,-122.0,-135.0
2025-02-01,Hamdy Abdelwahab,Jamal Pogues,Jamal Pogues,105.0,105.0,-103.0,-105.0,102.0,105.0,104.0,115.0
2025-02-01,Israel Adesanya,Nassourdine Imavov,Israel Adesanya,-170.0,-145.0,-157.0,-155.0,-160.0,-155.0,-156.0,-160.0
2025-02-01,Israel Adesanya,Nassourdine Imavov,Nassourdine Imavov,140.0,125.0,125.0,125.0,135.0,130.0,132.0,135.0
2025-02-01,Jasmine Jasudavicius,Mayra Bueno Silva,Jasmine Jasudavicius,-250.0,-245.0,-275.0,-260.0,-260.0,-258.0,-260.0,-270.0
2025-02-01,Jasmine Jasudavicius,Mayra Bueno Silva,Mayra Bueno Silva,200.0,210.0,215.0,210.0,215.0,210.0,215.0,220.0
2025-02-01,Said Nurmagomedov,Vinicius Oliveira,Said Nurmagomedov,-160.0,-154.0,-167.0,-155.0,,-166.0,-164.0,-170.0
2025-02-01,Said Nurmagomedov,Vinicius Oliveira,Vinicius Oliveira,135.0,134.0,133.0,125.0,,140.0,138.0,143.0
2025-02-01,Shamil Gaziev,Thomas Petersen,Shamil Gaziev,-325.0,-305.0,-345.0,-310.0,-310.0,-340.0,-340.0,-340.0
2025-02-01,Shamil Gaziev,Thomas Petersen,Thomas Petersen,260.0,255.0,265.0,235.0,255.0,270.0,275.0,265.0
2025-02-01,Shara Magomedov,Michael Page,Michael Page,165.0,150.0,160.0,145.0,,154.0,162.0,160.0
2025-02-01,Shara Magomedov,Michael Page,Shara Magomedov,-200.0,-175.0,-200.0,-175.0,,-185.0,-194.0,-190.0
2025-02-08,Jack Jenkins,Gabriel Santos,Gabriel Santos,-235.0,-225.0,-230.0,,-225.0,-238.0,-235.0,-225.0
2025-02-08,Jack Jenkins,Gabriel Santos,Jack Jenkins,195.0,190.0,180.0,,185.0,195.0,186.0,185.0
2025-02-08,Quillan Salkilld,Anshul Jubli,Anshul Jubli,500.0,500.0,480.0,,475.0,455.0,480.0,500.0
2025-02-08,Quillan Salkilld,Anshul Jubli,Quillan Salkilld,-700.0,-700.0,-670.0,,-700.0,-625.0,-650.0,-700.0
2025-02-08,Tom Nolan,Viacheslav Borshchev,Tom Nolan,-105.0,-102.0,-106.0,,102.0,100.0,-102.0,-110.0
2025-02-08,Tom Nolan,Viacheslav Borshchev,Viacheslav Borshchev,-115.0,-118.0,-118.0,,-122.0,-120.0,-120.0,-110.0
2025-02-08,Wang Cong,Bruna Brasil,Bruna Brasil,280.0,285.0,295.0,,290.0,280.0,285.0,290.0
2025-02-08,Wang Cong,Bruna Brasil,Wang Cong,-350.0,-360.0,-385.0,,-380.0,-355.0,-375.0,-370.0
2025-02-15,Angela Hill,Ketlen Souza,Angela Hill,-105.0,-103.0,-112.0,-115.0,-103.0,-102.0,-108.0,-105.0
2025-02-15,Angela Hill,Ketlen Souza,Ketlen Souza,-115.0,-117.0,-112.0,-115.0,-117.0,-118.0,-108.0,-115.0
2025-02-15,Gabriel Bonfim,Khaos Williams,Gabriel Bonfim,-210.0,-200.0,-240.0,-200.0,,-218.0,-200.0,-225.0
2025-02-15,Gabriel Bonfim,Khaos Williams,Khaos Williams,170.0,170.0,185.0,165.0,,180.0,168.0,185.0
2025-02-15,Julia Avila,Jacqueline Cavalcanti,Jacqueline Cavalcanti,-700.0,-720.0,-715.0,-700.0,-700.0,-700.0,-720.0,-700.0
2025-02-15,Julia Avila,Jacqueline Cavalcanti,Julia Avila,500.0,520.0,510.0,450.0,475.0,500.0,520.0,500.0
2025-02-15,Vince Morales,Elijah Smith,Elijah Smith,-145.0,-141.0,-150.0,-150.0,-145.0,-142.0,-146.0,-150.0
2025-02-15,Vince Morales,Elijah Smith,Vince Morales,120.0,121.0,120.0,120.0,125.0,120.0,124.0,125.0
2025-03-01,Danny Silva,Lucas Almeida,Danny Silva,-225.0,-250.0,-245.0,-250.0,-230.0,-250.0,-230.0,-250.0
2025-03-01,Danny Silva,Lucas Almeida,Lucas Almeida,185.0,210.0,190.0,200.0,190.0,205.0,190.0,205.0
2025-03-01,Ricardo Ramos,Chepe Mariscal,Chepe Mariscal,-450.0,,-435.0,,,,,
2025-03-01,Ricardo Ramos,Chepe Mariscal,Ricardo Ramos,350.0,,330.0,,,,,
2025-03-22,Jan Blachowicz,Carlos Ulberg,Carlos Ulberg,-300.0,-282.0,-295.0,-300.0,-290.0,-290.0,-290.0,-290.0
2025-03-22,Jan Blachowicz,Carlos Ulberg,Jan Blachowicz,240.0,242.0,225.0,246.0,240.0,235.0,235.0,235.0
2025-03-22,Leon Edwards,Sean Brady,Leon Edwards,135.0,134.0,128.0,130.0,127.0,130.0,132.0,135.0
2025-03-22,Leon Edwards,Sean Brady,Sean Brady,-160.0,-154.0,-159.0,-155.0,-147.0,-155.0,-156.0,-160.0
2025-03-22,Nathan Fletcher,Caolan Loughran,Caolan Loughran,115.0,119.0,106.0,118.0,100.0,114.0,108.0,118.0
2025-03-22,Nathan Fletcher,Caolan Loughran,Nathan Fletcher,-140.0,-139.0,-130.0,-139.0,-120.0,-135.0,-130.0,-140.0
2025-03-29,Jamall Emmers,Gabriel Miranda,Gabriel Miranda,375.0,375.0,370.0,363.0,355.0,370.0,350.0,380.0
2025-03-29,Jamall Emmers,Gabriel Miranda,Jamall Emmers,-500.0,-500.0,-500.0,-490.0,-490.0,-485.0,-450.0,-500.0
2025-03-29,Rafa Garcia,Vinc Pichel,Rafa Garcia,-450.0,-400.0,-500.0,-400.0,-510.0,-425.0,-420.0,-480.0
2025-03-29,Rafa Garcia,Vinc Pichel,Vinc Pichel,340.0,300.0,370.0,309.0,370.0,330.0,330.0,360.0
2025-03-29,Ronaldo Rodriguez,Kevin Borjas,Kevin Borjas,130.0,143.0,125.0,138.0,122.0,130.0,130.0,125.0
2025-03-29,Ronaldo Rodriguez,Kevin Borjas,Ronaldo Rodriguez,-155.0,-163.0,-157.0,-165.0,-142.0,-155.0,-154.0,-150.0
